# timestamp_utc,2026-06-06T22:51:09Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,16384
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.011880
# per_op_median_ms,0.011877
# per_op_stddev_ms,0.000064
# per_op_ci95_low_ms,0.011858
# per_op_ci95_high_ms,0.011903
sample_idx,per_op_ms
0,0.011749
1,0.011781
2,0.011790
3,0.011796
4,0.011797
5,0.011810
6,0.011831
7,0.011837
8,0.011855
9,0.011858
10,0.011858
11,0.011860
12,0.011868
13,0.011872
14,0.011874
15,0.011877
16,0.011884
17,0.011888
18,0.011905
19,0.011910
20,0.011913
21,0.011931
22,0.011934
23,0.011937
24,0.011937
25,0.011951
26,0.011952
27,0.011983
28,0.011984
29,0.011994
