# timestamp_utc,2026-06-06T22:51:06Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,4096
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.003924
# per_op_median_ms,0.003914
# per_op_stddev_ms,0.000033
# per_op_ci95_low_ms,0.003912
# per_op_ci95_high_ms,0.003936
sample_idx,per_op_ms
0,0.003879
1,0.003881
2,0.003883
3,0.003893
4,0.003893
5,0.003893
6,0.003900
7,0.003900
8,0.003904
9,0.003905
10,0.003905
11,0.003906
12,0.003909
13,0.003912
14,0.003912
15,0.003914
16,0.003919
17,0.003923
18,0.003934
19,0.003935
20,0.003941
21,0.003946
22,0.003949
23,0.003950
24,0.003954
25,0.003957
26,0.003958
27,0.003975
28,0.003980
29,0.004023
