# timestamp_utc,2026-05-18T23:19:38Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.001418
# per_op_median_ms,0.001365
# per_op_stddev_ms,0.000114
# per_op_ci95_low_ms,0.001377
# per_op_ci95_high_ms,0.001459
sample_idx,per_op_ms
0,0.001321
1,0.001322
2,0.001322
3,0.001322
4,0.001324
5,0.001326
6,0.001331
7,0.001332
8,0.001333
9,0.001335
10,0.001338
11,0.001343
12,0.001344
13,0.001344
14,0.001345
15,0.001365
16,0.001379
17,0.001410
18,0.001423
19,0.001460
20,0.001462
21,0.001480
22,0.001488
23,0.001504
24,0.001516
25,0.001555
26,0.001558
27,0.001568
28,0.001620
29,0.001779
