# timestamp_utc,2026-05-18T23:19:39Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,4096
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.002813
# per_op_median_ms,0.002866
# per_op_stddev_ms,0.000189
# per_op_ci95_low_ms,0.002745
# per_op_ci95_high_ms,0.002881
sample_idx,per_op_ms
0,0.002399
1,0.002552
2,0.002559
3,0.002563
4,0.002572
5,0.002578
6,0.002637
7,0.002689
8,0.002695
9,0.002719
10,0.002742
11,0.002751
12,0.002828
13,0.002835
14,0.002856
15,0.002866
16,0.002867
17,0.002879
18,0.002885
19,0.002888
20,0.002899
21,0.002921
22,0.002928
23,0.002950
24,0.002969
25,0.002976
26,0.003021
27,0.003030
28,0.003134
29,0.003212
